Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.783,68.269,68.579,68.992,69.18,69.449,69.901,70.281,70.673,71.135,71.585,72.006,72.785,73.487,73.909,74.284,74.417,74.525,74.615,74.746,74.83,75.298,75.504,75.707,75.855,76.052,76.139,76.117,76.113,76.147,76.196,76.147,76.181,76.218,76.253,76.36,76.403,76.355,76.378,76.466,76.477,76.495,76.555,76.503,76.45,76.56,76.542,76.478,76.944,77.371,78.612,78.62,78.603,78.803,78.614,78.644,78.486,78.794,78.854,79.01,78.445,77.315,
Africa Eastern and Southern,AFE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,45.70738061,46.11873745,46.4793255,46.77237014,47.35016157,47.42047397,47.11829133,47.84522502,48.1519718,48.39889852,48.68132697,49.20651209,48.91536422,49.59700212,49.48796892,49.61900931,50.33142633,50.6851958,50.92937191,51.36497204,51.71798435,52.22195377,52.49340316,50.89751396,51.01596676,51.34797651,52.00564101,52.59736337,51.98749759,53.08071898,53.06583955,52.74605513,52.36784845,52.73532522,53.03213224,53.18983678,52.96035917,53.03858173,52.62074815,53.39611393,53.66220755,53.77262631,54.10487203,54.4953653,55.02003709,55.71769736,56.67129528,57.53125655,58.37938649,59.45095277,60.30967462,61.30028814,62.14798379,62.93590022,63.64117731,64.19112513,64.86779082,65.3040097,65.82810709,66.2197263,65.83646522,65.07847216,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,33.285,33.813,34.297,34.773,35.246,35.702,36.226,36.711,37.214,37.701,38.233,38.76,39.3,39.857,40.397,40.938,41.483,42.044,41.685,41.143,41.72,42.295,40.833,41.38,37.974,38.316,42.909,43.453,46.569,47.61,48.397,49.144,50.32,52.739,53.544,54.087,54.806,55.151,54.818,56.3,56.858,57.344,57.672,58.65,59.216,59.697,60.243,60.909,61.529,61.892,62.408,62.993,63.514,64.027,64.274,64.576,65.096,66.099,66.458,66.677,65.432,65.279,
Africa Western and Central,AFW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,39.38463802,39.70428388,39.93535409,40.28346831,40.60988778,40.8449384,41.03609804,41.00349782,41.57192761,41.79031334,42.21369592,42.67802064,43.36627527,43.92174339,44.57037487,45.31772745,46.18790314,46.96862278,47.59242513,48.00405722,48.37122717,48.60773305,48.85878081,49.11707962,49.261311,49.3998563,49.4195454,49.7337994,49.95865855,50.14994578,50.22901109,50.16276387,50.25557714,50.32930331,50.1306698,50.23282807,50.34940605,50.50699538,50.59224594,51.00462819,51.38252846,51.67646905,52.03391606,52.52457948,52.89031209,53.39750452,53.83159449,54.24670473,54.53774554,55.07711119,55.44060717,55.92535595,56.2607088,56.6172635,56.88093468,57.16432389,57.448601,57.842236,58.11324772,58.54597904,58.34623979,58.09982774,
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,39.918,40.097,40.399,40.665,40.99,41.384,41.656,42.019,42.454,42.8,43.182,43.5,43.809,44.22,44.596,44.353,44.412,44.68,45.035,45.361,45.608,45.864,46.133,45.435,45.698,45.912,46.037,44.724,45.155,45.33,45.453,46.807,45.484,46.578,47.499,47.829,47.96,48.279,47.618,48.478,48.561,49.606,49.896,51.674,52.657,53.634,54.518,55.815,56.734,57.967,59.039,59.869,61.024,61.684,62.472,63.094,63.434,64.019,64.717,64.922,64.982,64.307,
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,57.78,58.9,59.75,60.831,61.851,62.866,63.846,64.698,65.645,66.561,67.371,68.136,68.913,69.504,70.074,70.614,70.948,71.352,71.578,71.861,72.986,73.352,73.79,74.147,74.41,74.589,74.9,75.356,75.796,76.076,76.433,76.631,76.972,77.118,77.258,77.511,77.746,77.316,78.021,78.209,78.419,78.618,78.823,79.057,79.237,79.493,79.686,80.247,80.429,80.544,80.688,80.798,80.703,80.781,81.013,81.183,81.377,81.504,81.608,81.666,79.676,79.173,
Andorra,AND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,46.7419817,47.45747215,47.96975653,48.65304371,49.50871256,49.86999258,50.15837301,50.68398962,51.15068505,51.58727277,52.10067729,52.99843083,53.54281073,54.32706158,54.93115654,55.59563669,55.86387192,57.06173226,57.8247871,58.5506026,59.33439076,59.93130576,60.45265385,61.17476414,61.85974227,62.58253191,63.76057058,63.69471617,63.41904927,64.75469188,65.23031114,65.25927057,65.5180655,66.50702809,67.39938491,67.42104921,67.74203136,68.05065772,67.92299102,68.80754305,69.30685403,69.62661383,69.94063602,69.98985934,70.13519056,70.44006398,70.89607739,71.25552369,71.45269054,71.8728873,72.08711066,72.32035791,72.34113705,72.42624873,72.73070685,72.89028085,73.22839854,73.73231985,73.84237696,73.93930977,73.11271122,72.98969421,
United Arab Emirates,ARE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,52.034,52.794,53.765,54.642,55.775,56.894,58.184,59.421,60.539,61.829,63.121,64.31,65.185,66.47,67.239,68.035,68.816,69.535,70.28,70.965,71.67,72.006,72.604,72.876,73.412,73.64,73.775,74.513,74.648,74.788,74.922,75.04,74.99,75.524,75.595,75.633,75.343,75.534,75.676,76.193,76.617,76.998,77.35,78.521,78.784,79.033,79.289,79.52,79.75,79.982,80.203,80.415,80.623,80.828,81.023,81.212,81.396,81.626,81.79,81.907,81.112,80.937,
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.617,68.031,68.031,68.285,68.261,68.493,68.761,68.99,69.035,69.047,69.705,69.493,69.91,70.35,70.747,71.269,71.489,72.173,72.321,72.548,72.549,73.089,73.039,73.21,73.151,73.253,73.638,74.004,74.381,74.735,74.963,75.635,75.719,75.94,76.049,76.243,76.418,76.464,76.758,76.989,77.223,77.59,78.075,77.276,78.103,78.527,78.716,78.515,78.927,79.07,78.838,79.322,79.953,79.927,80.004,80.188,79.67,80.085,80.329,80.681,79.285,78.647,
